,Protein,Number_of_detected_peptides
908,TXLNA_HUMAN,10
909,UBP14_HUMAN,10
910,UBP1_HUMAN,10
911,UBP42_HUMAN,10
912,UBR5_HUMAN,10
913,WNK3_HUMAN,10
914,ZC3H1_HUMAN,10
915,ZC3HE_HUMAN,10
916,ZN219_HUMAN,10
917,ZO3_HUMAN,10
918,AATF_HUMAN,9
919,AN32B_HUMAN,9
920,ANKL2_HUMAN,9
921,ARHGG_HUMAN,9
922,ARI1B_HUMAN,9
923,ARI3B_HUMAN,9
924,ASML_HUMAN,9
925,BCAS3_HUMAN,9
926,BTF3_HUMAN,9
927,C1QBP_HUMAN,9
928,C8AP2_HUMAN,9
929,CAAP1_HUMAN,9
930,CASC3_HUMAN,9
931,CCNL2_HUMAN,9
932,CCNY_HUMAN,9
933,CD44_HUMAN,9
934,CDC20_HUMAN,9
935,CDCA3_HUMAN,9
936,CDK16_HUMAN,9
937,CDK17_HUMAN,9
938,CEBPE_HUMAN,9
939,CECR2_HUMAN,9
940,CLIC1_HUMAN,9
941,CTDP1_HUMAN,9
942,CTSL2_HUMAN,9
943,CYTSB_HUMAN,9
944,DAPLE_HUMAN,9
945,DBF4A_HUMAN,9
946,DOC10_HUMAN,9
947,DOCK8_HUMAN,9
948,DYST_HUMAN,9
949,EFHD2_HUMAN,9
950,EIF3B_HUMAN,9
951,EIF3G_HUMAN,9
952,EIF3H_HUMAN,9
953,EIF3I_HUMAN,9
954,ENSA_HUMAN,9
955,F10A1_HUMAN,9
956,F177A_HUMAN,9
957,FA83B_HUMAN,9
958,FOXK2_HUMAN,9
959,FSCN1_HUMAN,9
960,G3BP2_HUMAN,9
961,GEPH_HUMAN,9
962,GFI1_HUMAN,9
963,GORS2_HUMAN,9
964,GRB10_HUMAN,9
965,GWL_HUMAN,9
966,H15_HUMAN,9
967,H90B2_HUMAN,9
968,HD_HUMAN,9
969,HMGX4_HUMAN,9
970,HNRL1_HUMAN,9
971,HSF1_HUMAN,9
972,ICLN_HUMAN,9
973,INT1_HUMAN,9
974,IPYR_HUMAN,9
975,IQEC1_HUMAN,9
976,K1143_HUMAN,9
977,K1551_HUMAN,9
978,KAP0_HUMAN,9
979,KAT6A_HUMAN,9
980,KDM2A_HUMAN,9
981,KIF1C_HUMAN,9
982,KIF4A_HUMAN,9
983,KS6C1_HUMAN,9
984,KTN1_HUMAN,9
985,LAR4B_HUMAN,9
986,LIPA1_HUMAN,9
987,LMBL2_HUMAN,9
988,LPPRC_HUMAN,9
989,LR16A_HUMAN,9
990,LRCH3_HUMAN,9
991,M3K7_HUMAN,9
992,MAVS_HUMAN,9
993,MEF2D_HUMAN,9
994,MEX3A_HUMAN,9
995,MIER1_HUMAN,9
996,MKL1_HUMAN,9
997,MLTK_HUMAN,9
998,MORC2_HUMAN,9
999,MPDZ_HUMAN,9
1000,MPIP2_HUMAN,9
1001,MTMR3_HUMAN,9
1002,NAA30_HUMAN,9
1003,NACA_HUMAN,9
1004,NDRG1_HUMAN,9
1005,NGDN_HUMAN,9
1006,NOB1_HUMAN,9
1007,NSD1_HUMAN,9
1008,ODPA_HUMAN,9
1009,OSBL8_HUMAN,9
1010,PABP1_HUMAN,9
1011,PARN_HUMAN,9
1012,PEA15_HUMAN,9
1013,PHF14_HUMAN,9
1014,PHF3_HUMAN,9
1015,PODXL_HUMAN,9
1016,PRDX2_HUMAN,9
1017,PSMD1_HUMAN,9
1018,PTBP1_HUMAN,9
1019,QSER1_HUMAN,9
1020,R51A1_HUMAN,9
1021,RAB44_HUMAN,9
1022,RALY_HUMAN,9
1023,RB8NL_HUMAN,9
1024,RBP1_HUMAN,9
1025,RHG12_HUMAN,9
1026,RHG25_HUMAN,9
1027,RHG39_HUMAN,9
1028,RS14_HUMAN,9
1029,RSRC2_HUMAN,9
1030,S11IP_HUMAN,9
1031,SAHH_HUMAN,9
1032,SALL1_HUMAN,9
1033,SAMN1_HUMAN,9
1034,SASH1_HUMAN,9
1035,SKA3_HUMAN,9
1036,SL9A1_HUMAN,9
1037,SP130_HUMAN,9
1038,SPTN2_HUMAN,9
1039,SR140_HUMAN,9
1040,SYMPK_HUMAN,9
1041,SYN1_HUMAN,9
1042,SZRD1_HUMAN,9
1043,TALDO_HUMAN,9
1044,TBA1A_HUMAN,9
1045,TCPH_HUMAN,9
1046,TCPZ_HUMAN,9
1047,TJAP1_HUMAN,9
1048,TLK2_HUMAN,9
1049,TLN1_HUMAN,9
1050,TPX2_HUMAN,9
1051,TSC2_HUMAN,9
1052,UBP24_HUMAN,9
1053,UTP18_HUMAN,9
1054,WEE1_HUMAN,9
1055,YS060_HUMAN,9
1056,ZC3H3_HUMAN,9
1057,ZMYM2_HUMAN,9
1058,AEBP2_HUMAN,8
1059,AGFG1_HUMAN,8
1060,AJUBA_HUMAN,8
1061,AKAP1_HUMAN,8
1062,ARI4B_HUMAN,8
1063,ARPC2_HUMAN,8
1064,ASHWN_HUMAN,8
1065,ATD2B_HUMAN,8
1066,BRAF_HUMAN,8
1067,BRD4_HUMAN,8
1068,C2D1A_HUMAN,8
1069,CAMP2_HUMAN,8
1070,CCYL1_HUMAN,8
1071,CDCA5_HUMAN,8
1072,CENPA_HUMAN,8
1073,CETN2_HUMAN,8
1074,CI040_HUMAN,8
1075,CLIP2_HUMAN,8
1076,COR1A_HUMAN,8
1077,CPIN1_HUMAN,8
1078,CSN1_HUMAN,8
1079,DIP2B_HUMAN,8
1080,DOK3_HUMAN,8
1081,EH1L1_HUMAN,8
1082,EMAL3_HUMAN,8
1083,ERCC5_HUMAN,8
1084,F117A_HUMAN,8
1085,FA21C_HUMAN,8
1086,FBSL_HUMAN,8
1087,FLI1_HUMAN,8
1088,FOSL2_HUMAN,8
1089,FOXO1_HUMAN,8
1090,FR1OP_HUMAN,8
1091,FRIH_HUMAN,8
1092,FRS2_HUMAN,8
1093,FUBP3_HUMAN,8
1094,GANAB_HUMAN,8
1095,GDIB_HUMAN,8
1096,GRWD1_HUMAN,8
1097,GYS1_HUMAN,8
1098,HAP28_HUMAN,8
1099,HCLS1_HUMAN,8
1100,HID1_HUMAN,8
1101,HSP71_HUMAN,8
1102,HSP72_HUMAN,8
1103,HTF4_HUMAN,8
1104,ICE1_HUMAN,8
1105,KIF15_HUMAN,8
1106,KIF1A_HUMAN,8
1107,KKCC2_HUMAN,8
1108,KSR1_HUMAN,8
1109,LARP7_HUMAN,8
1110,MED26_HUMAN,8
1111,MEX3C_HUMAN,8
1112,MICA3_HUMAN,8
1113,MP2K2_HUMAN,8
1114,MRGBP_HUMAN,8
1115,MTG16_HUMAN,8
1116,NACAM_HUMAN,8
1117,NELFA_HUMAN,8
1118,NRDC_HUMAN,8
1119,NSD2_HUMAN,8
1120,NU107_HUMAN,8
1121,ORC2_HUMAN,8
1122,OTUD4_HUMAN,8
1123,OXSR1_HUMAN,8
1124,P4K2A_HUMAN,8
1125,PACN3_HUMAN,8
1126,PACS1_HUMAN,8
1127,PALM3_HUMAN,8
1128,PANK2_HUMAN,8
1129,PAPOA_HUMAN,8
1130,PARG_HUMAN,8
1131,PARP1_HUMAN,8
1132,PAWR_HUMAN,8
1133,PAXB1_HUMAN,8
1134,PHC3_HUMAN,8
1135,PHF8_HUMAN,8
1136,PKHG3_HUMAN,8
1137,PKP3_HUMAN,8
1138,POP1_HUMAN,8
1139,PRR5_HUMAN,8
1140,PTN23_HUMAN,8
1141,PTN2_HUMAN,8
1142,RBBP7_HUMAN,8
1143,RBM33_HUMAN,8
1144,RBMS1_HUMAN,8
1145,RBP56_HUMAN,8
1146,RCOR1_HUMAN,8
1147,RHGBA_HUMAN,8
1148,RL13_HUMAN,8
1149,RL17_HUMAN,8
1150,RL18A_HUMAN,8
1151,RL7A_HUMAN,8
1152,RLA0L_HUMAN,8
1153,RMP_HUMAN,8
1154,RNPS1_HUMAN,8
1155,RPN1_HUMAN,8
1156,RRAS2_HUMAN,8
1157,RS19_HUMAN,8
1158,RS8_HUMAN,8
1159,RS9_HUMAN,8
1160,RTN4_HUMAN,8
1161,RUNX3_HUMAN,8
1162,SAMD1_HUMAN,8
1163,SASH3_HUMAN,8
1164,SC31A_HUMAN,8
1165,SDS3_HUMAN,8
1166,SF01_HUMAN,8
1167,SHOT1_HUMAN,8
1168,SLBP_HUMAN,8
1169,SRPK1_HUMAN,8
1170,STIM1_HUMAN,8
1171,TANC1_HUMAN,8
1172,TBB2B_HUMAN,8
1173,TFPT_HUMAN,8
1174,THOC5_HUMAN,8
1175,TIAM1_HUMAN,8
1176,TNR6B_HUMAN,8
1177,TPRN_HUMAN,8
1178,TSC1_HUMAN,8
1179,TYY1_HUMAN,8
1180,UBP20_HUMAN,8
1181,UIMC1_HUMAN,8
1182,US6NL_HUMAN,8
1183,VDAC2_HUMAN,8
1184,WDR20_HUMAN,8
1185,WIPF1_HUMAN,8
1186,WRIP1_HUMAN,8
1187,YTDC1_HUMAN,8
1188,ZC3HF_HUMAN,8
1189,ZFHX3_HUMAN,8
1190,ZN608_HUMAN,8
1191,ZNRF2_HUMAN,8
1192,ZZZ3_HUMAN,8
1193,AAKG2_HUMAN,7
1194,ABL2_HUMAN,7
1195,ACTBL_HUMAN,7
1196,ADA10_HUMAN,7
1197,AHDC1_HUMAN,7
1198,AKTS1_HUMAN,7
1199,AN32E_HUMAN,7
1200,ANCHR_HUMAN,7
1201,APC1_HUMAN,7
1202,ARC1B_HUMAN,7
1203,ARHG7_HUMAN,7
1204,ARP2_HUMAN,7
1205,AT2B1_HUMAN,7
1206,AUTS2_HUMAN,7
1207,B2L12_HUMAN,7
1208,BAP1_HUMAN,7
1209,BBX_HUMAN,7
1210,BCAR3_HUMAN,7
1211,BMS1_HUMAN,7
1212,BRCA1_HUMAN,7
1213,BRD3_HUMAN,7
1214,BUB1_HUMAN,7
1215,BZW1_HUMAN,7
1216,C2C2L_HUMAN,7
1217,CABL1_HUMAN,7
1218,CBS_HUMAN,7
1219,CC88B_HUMAN,7
1220,CCD94_HUMAN,7
1221,CDAN1_HUMAN,7
1222,CDCA2_HUMAN,7
1223,CDYL1_HUMAN,7
1224,CND1_HUMAN,7
1225,CND2_HUMAN,7
1226,CND3_HUMAN,7
1227,CNKR2_HUMAN,7
1228,CNOT2_HUMAN,7
1229,COBL1_HUMAN,7
1230,CREB1_HUMAN,7
1231,CRK_HUMAN,7
1232,CRML_HUMAN,7
1233,CSTF3_HUMAN,7
1234,DDX24_HUMAN,7
1235,DEN4B_HUMAN,7
1236,DGC14_HUMAN,7
1237,DHX8_HUMAN,7
1238,DNM3A_HUMAN,7
1239,DOC11_HUMAN,7
1240,DUS16_HUMAN,7
1241,DUS3L_HUMAN,7
1242,DX39B_HUMAN,7
1243,EIF3C_HUMAN,7
1244,EIF3F_HUMAN,7
1245,EMSA1_HUMAN,7
1246,EMSY_HUMAN,7
1247,ENOG_HUMAN,7
1248,ES8L2_HUMAN,7
1249,EXOC1_HUMAN,7
1250,FA53B_HUMAN,7
1251,FA65A_HUMAN,7
1252,FNBP4_HUMAN,7
1253,FRM4B_HUMAN,7
1254,FRYL_HUMAN,7
1255,G3BP1_HUMAN,7
1256,GAB2_HUMAN,7
1257,GOGA4_HUMAN,7
1258,GPAM1_HUMAN,7
1259,GTPB1_HUMAN,7
1260,HDAC4_HUMAN,7
1261,HDGR3_HUMAN,7
1262,HIC2_HUMAN,7
1263,HMGN1_HUMAN,7
1264,HNRDL_HUMAN,7
1265,HSPB8_HUMAN,7
1266,IASPP_HUMAN,7
1267,IF4G3_HUMAN,7
1268,IF4H_HUMAN,7
1269,INT3_HUMAN,7
1270,JADE1_HUMAN,7
1271,JAM1_HUMAN,7
1272,K0754_HUMAN,7
1273,K1468_HUMAN,7
1274,K1C9_HUMAN,7
1275,KANK2_HUMAN,7
1276,KAP1_HUMAN,7
1277,KMT2C_HUMAN,7
1278,KPCD1_HUMAN,7
1279,KPCD2_HUMAN,7
1280,L2GL2_HUMAN,7
1281,LAMC1_HUMAN,7
1282,LARP6_HUMAN,7
1283,LATS1_HUMAN,7
1284,LPPR3_HUMAN,7
1285,LRBA_HUMAN,7
1286,LRC59_HUMAN,7
1287,LRP4_HUMAN,7
1288,LTOR1_HUMAN,7
1289,MAGI3_HUMAN,7
1290,MCM4_HUMAN,7
1291,MED13_HUMAN,7
1292,MILK2_HUMAN,7
1293,MK01_HUMAN,7
1294,ML12B_HUMAN,7
1295,MMTA2_HUMAN,7
1296,MPP8_HUMAN,7
1297,MVD1_HUMAN,7
1298,N4BP1_HUMAN,7
1299,NADAP_HUMAN,7
1300,NCBP1_HUMAN,7
1301,NCBP3_HUMAN,7
1302,NEK9_HUMAN,7
1303,NEXN_HUMAN,7
1304,NFAC1_HUMAN,7
1305,NFM_HUMAN,7
1306,NHSL1_HUMAN,7
1307,NKTR_HUMAN,7
1308,NOL8_HUMAN,7
1309,OCAD1_HUMAN,7
1310,ODBA_HUMAN,7
1311,ORC1_HUMAN,7
1312,P121C_HUMAN,7
1313,PALLD_HUMAN,7
1314,PAXX_HUMAN,7
1315,PDCD4_HUMAN,7
1316,PDIA6_HUMAN,7
1317,PDIP3_HUMAN,7
1318,PDLI5_HUMAN,7
1319,PDXD1_HUMAN,7
1320,PDZD4_HUMAN,7
1321,PEAK1_HUMAN,7
1322,PGM2_HUMAN,7
1323,PGRC2_HUMAN,7
1324,PHAR2_HUMAN,7
1325,PLCG1_HUMAN,7
1326,PMYT1_HUMAN,7
1327,PP12C_HUMAN,7
1328,PP2BA_HUMAN,7
1329,PPR35_HUMAN,7
1330,PR40A_HUMAN,7
1331,PRDM2_HUMAN,7
1332,PRP8_HUMAN,7
1333,PSA5_HUMAN,7
1334,PTN22_HUMAN,7
1335,PTN7_HUMAN,7
1336,RBM23_HUMAN,7
1337,RBM27_HUMAN,7
1338,RGPA2_HUMAN,7
1339,RGS14_HUMAN,7
1340,RHG09_HUMAN,7
1341,RHG35_HUMAN,7
1342,RICTR_HUMAN,7
1343,RL10_HUMAN,7
1344,RL12_HUMAN,7
1345,RL15_HUMAN,7
1346,RL18_HUMAN,7
1347,RL23A_HUMAN,7
1348,RL30_HUMAN,7
1349,RNZ2_HUMAN,7
1350,ROA0_HUMAN,7
1351,RS13_HUMAN,7
1352,RS18_HUMAN,7
1353,RS4X_HUMAN,7
1354,RYBP_HUMAN,7
1355,S10AG_HUMAN,7
1356,S38A1_HUMAN,7
1357,SAC2_HUMAN,7
1358,SEPT7_HUMAN,7
1359,SMAG2_HUMAN,7
1360,SMG9_HUMAN,7
1361,SMN_HUMAN,7
1362,SP110_HUMAN,7
1363,SPD2B_HUMAN,7
1364,SPN90_HUMAN,7
1365,SREC2_HUMAN,7
1366,SRP72_HUMAN,7
1367,SSH1_HUMAN,7
1368,ST2B1_HUMAN,7
1369,STAU2_HUMAN,7
1370,SUGP1_HUMAN,7
1371,SUGP2_HUMAN,7
1372,SYAP1_HUMAN,7
1373,SYMC_HUMAN,7
1374,TBA1B_HUMAN,7
1375,TBA4A_HUMAN,7
1376,TBB8_HUMAN,7
1377,TEX2_HUMAN,7
1378,THIO_HUMAN,7
1379,TMC8_HUMAN,7
1380,TOPRS_HUMAN,7
1381,TPM4_HUMAN,7
1382,U2AFM_HUMAN,7
1383,UBP10_HUMAN,7
1384,UBP54_HUMAN,7
1385,UBP8_HUMAN,7
1386,UH1BL_HUMAN,7
1387,VASP_HUMAN,7
1388,VINEX_HUMAN,7
1389,VP26B_HUMAN,7
1390,WAP53_HUMAN,7
1391,WBP11_HUMAN,7
1392,WDR4_HUMAN,7
1393,ZN638_HUMAN,7
1394,ZN777_HUMAN,7
1395,2A5D_HUMAN,6
1396,AAKB1_HUMAN,6
1397,AAKB2_HUMAN,6
1398,ABR_HUMAN,6
1399,ACTA_HUMAN,6
1400,AFAP1_HUMAN,6
1401,AIM1_HUMAN,6
1402,AKIR1_HUMAN,6
1403,AMPN_HUMAN,6
1404,AN34A_HUMAN,6
1405,ANXA6_HUMAN,6
1406,AP3D1_HUMAN,6
1407,ARBK1_HUMAN,6
1408,ARGL1_HUMAN,6
1409,ARHG5_HUMAN,6
1410,ARHGA_HUMAN,6
1411,ARIP4_HUMAN,6
1412,ASH1L_HUMAN,6
1413,ASPP1_HUMAN,6
1414,ATG9A_HUMAN,6
1415,ATLA2_HUMAN,6
1416,AXA2L_HUMAN,6
1417,BASP1_HUMAN,6
1418,BCL7C_HUMAN,6
1419,BTK_HUMAN,6
1420,CA174_HUMAN,6
1421,CA226_HUMAN,6
1422,CALU_HUMAN,6
1423,CAPZB_HUMAN,6
1424,CBX8_HUMAN,6
1425,CC85C_HUMAN,6
1426,CCDC9_HUMAN,6
1427,CCNT2_HUMAN,6
1428,CDA7L_HUMAN,6
1429,CE152_HUMAN,6
1430,CK096_HUMAN,6
1431,CNN3_HUMAN,6
1432,CNOT4_HUMAN,6
1433,COPB2_HUMAN,6
1434,CP072_HUMAN,6
1435,CPSF7_HUMAN,6
1436,CRTC3_HUMAN,6
1437,CSRP1_HUMAN,6
1438,DCAF5_HUMAN,6
1439,DCDC2_HUMAN,6
1440,DCTP1_HUMAN,6
1441,DDI2_HUMAN,6
1442,DDX10_HUMAN,6
1443,DDX1_HUMAN,6
1444,DEN1A_HUMAN,6
1445,DFFA_HUMAN,6
1446,DLGP5_HUMAN,6
1447,DOCK5_HUMAN,6
1448,DPOA2_HUMAN,6
1449,DPYL1_HUMAN,6
1450,DSG2_HUMAN,6
1451,DSN1_HUMAN,6
1452,DSRAD_HUMAN,6
1453,DX39A_HUMAN,6
1454,EAF6_HUMAN,6
1455,ECHA_HUMAN,6
1456,ERBB2_HUMAN,6
1457,ESCO2_HUMAN,6
1458,ESF1_HUMAN,6
1459,ETV3_HUMAN,6
1460,EWS_HUMAN,6
1461,F120A_HUMAN,6
1462,F1711_HUMAN,6
1463,FA83G_HUMAN,6
1464,FARP1_HUMAN,6
1465,FBRL_HUMAN,6
1466,FCHO2_HUMAN,6
1467,FGD4_HUMAN,6
1468,FGD6_HUMAN,6
1469,FL2D_HUMAN,6
1470,FOXA1_HUMAN,6
1471,GAB1_HUMAN,6
1472,GEMI5_HUMAN,6
1473,GFPT1_HUMAN,6
1474,GLI3_HUMAN,6
1475,GLYM_HUMAN,6
1476,GPKOW_HUMAN,6
1477,GRIN1_HUMAN,6
1478,GUAA_HUMAN,6
1479,H13_HUMAN,6
1480,H2AY_HUMAN,6
1481,H90B3_HUMAN,6
1482,HAUS6_HUMAN,6
1483,HERC2_HUMAN,6
1484,HMGN2_HUMAN,6
1485,HNRH3_HUMAN,6
1486,HP1B3_HUMAN,6
1487,IF2B_HUMAN,6
1488,IF4A3_HUMAN,6
1489,IF5A1_HUMAN,6
1490,IGLL1_HUMAN,6
1491,IMB1_HUMAN,6
1492,INF2_HUMAN,6
1493,IPYR2_HUMAN,6
1494,IQEC2_HUMAN,6
1495,ITF2_HUMAN,6
1496,K1C17_HUMAN,6
1497,K2C1_HUMAN,6
1498,KANK1_HUMAN,6
1499,KI21B_HUMAN,6
1500,KIF2C_HUMAN,6
1501,KLF3_HUMAN,6
1502,KPB2_HUMAN,6
1503,KPCD3_HUMAN,6
1504,KS6A3_HUMAN,6
1505,KS6A4_HUMAN,6
1506,LAT3_HUMAN,6
1507,LEG3_HUMAN,6
1508,LEO1_HUMAN,6
1509,LIPA3_HUMAN,6
1510,LMAN1_HUMAN,6
1511,LORF1_HUMAN,6
1512,LRMP_HUMAN,6
1513,LRRF2_HUMAN,6
1514,LYSM2_HUMAN,6
1515,LZTS2_HUMAN,6
1516,MARE1_HUMAN,6
1517,MB12A_HUMAN,6
1518,MELK_HUMAN,6
1519,MELPH_HUMAN,6
1520,MTA3_HUMAN,6
1521,MTMR4_HUMAN,6
1522,MTNB_HUMAN,6
1523,MTOR_HUMAN,6
1524,NBEL2_HUMAN,6
1525,NBN_HUMAN,6
1526,NDE1_HUMAN,6
1527,NDK8_HUMAN,6
1528,NF1_HUMAN,6
1529,NSRP1_HUMAN,6
1530,NUMB_HUMAN,6
1531,NUSAP_HUMAN,6
1532,OGFR_HUMAN,6
1533,P121A_HUMAN,6
1534,PAPD5_HUMAN,6
1535,PARVA_HUMAN,6
1536,PCBP3_HUMAN,6
1537,PDE3B_HUMAN,6
1538,PDLI7_HUMAN,6
1539,PGK2_HUMAN,6
1540,PHB2_HUMAN,6
1541,PIAS1_HUMAN,6
1542,PLCB3_HUMAN,6
1543,PO2F1_HUMAN,6
1544,PR38B_HUMAN,6
1545,PRKDC_HUMAN,6
1546,PSA3_HUMAN,6
1547,PSA6_HUMAN,6
1548,PSMD6_HUMAN,6
1549,RAB7A_HUMAN,6
1550,RABE1_HUMAN,6
1551,RBM26_HUMAN,6
1552,RBNS5_HUMAN,6
1553,RBP10_HUMAN,6
1554,RD23A_HUMAN,6
1555,RGPD8_HUMAN,6
1556,RHG29_HUMAN,6
1557,RINI_HUMAN,6
1558,RIOK1_HUMAN,6
1559,RL19_HUMAN,6
1560,RL31_HUMAN,6
1561,RL8_HUMAN,6
1562,RL9_HUMAN,6
1563,ROAA_HUMAN,6
1564,ROBO1_HUMAN,6
1565,ROCK1_HUMAN,6
1566,RPGF6_HUMAN,6
1567,RS11_HUMAN,6
1568,RS12_HUMAN,6
1569,RS15A_HUMAN,6
1570,RS20_HUMAN,6
1571,RS27_HUMAN,6
1572,S1PR4_HUMAN,6
1573,SAMH1_HUMAN,6
1574,SCNM1_HUMAN,6
1575,SDA1_HUMAN,6
1576,SETX_HUMAN,6
1577,SND1_HUMAN,6
1578,SNUT1_HUMAN,6
1579,SOX13_HUMAN,6
1580,SP20H_HUMAN,6
1581,SPAST_HUMAN,6
1582,SPIN1_HUMAN,6
1583,SPIR1_HUMAN,6
1584,SPT6H_HUMAN,6
1585,SRFB1_HUMAN,6
1586,SRSF8_HUMAN,6
1587,SSRA_HUMAN,6
1588,STAT3_HUMAN,6
1589,STAU1_HUMAN,6
1590,STRAP_HUMAN,6
1591,STT3B_HUMAN,6
1592,SURF6_HUMAN,6
1593,SWAHD_HUMAN,6
1594,SYAC_HUMAN,6
1595,SYIC_HUMAN,6
1596,SYT6_HUMAN,6
1597,TAGL_HUMAN,6
1598,TAOK1_HUMAN,6
1599,TBA3C_HUMAN,6
1600,TBA8_HUMAN,6
1601,TBC30_HUMAN,6
1602,TFR1_HUMAN,6
1603,THOC4_HUMAN,6
1604,TM201_HUMAN,6
1605,TMOD3_HUMAN,6
1606,TPM1_HUMAN,6
1607,TPM3_HUMAN,6
1608,TRAD1_HUMAN,6
1609,TRAP1_HUMAN,6
1610,TREF1_HUMAN,6
1611,TRIM2_HUMAN,6
1612,TRIO_HUMAN,6
1613,TRPM7_HUMAN,6
1614,U520_HUMAN,6
1615,UBXN1_HUMAN,6
1616,UCHL1_HUMAN,6
1617,UFD1_HUMAN,6
1618,URP2_HUMAN,6
1619,USO1_HUMAN,6
1620,VDAC1_HUMAN,6
1621,VGLL4_HUMAN,6
1622,VIGLN_HUMAN,6
1623,VPRBP_HUMAN,6
1624,VPS50_HUMAN,6
1625,WDR62_HUMAN,6
1626,YBOX2_HUMAN,6
1627,YTDC2_HUMAN,6
1628,ZHX3_HUMAN,6
1629,ZIC5_HUMAN,6
1630,ZN148_HUMAN,6
1631,ZN574_HUMAN,6
1632,ZNF24_HUMAN,6
1633,ZSC10_HUMAN,6
1634,ZSWM8_HUMAN,6
1635,1433B_HUMAN,5
1636,2AAA_HUMAN,5
1637,3BP5L_HUMAN,5
1638,4EBP3_HUMAN,5
1639,4F2_HUMAN,5
1640,A16L1_HUMAN,5
1641,AB1IP_HUMAN,5
1642,ACSA_HUMAN,5
1643,ACTH_HUMAN,5
1644,ACTS_HUMAN,5
1645,ADAS_HUMAN,5
1646,AF10_HUMAN,5
1647,AFF1_HUMAN,5
1648,AGAP1_HUMAN,5
1649,AGAP2_HUMAN,5
1650,AGRL2_HUMAN,5
1651,ALPK3_HUMAN,5
1652,ANKH1_HUMAN,5
1653,ANKZ1_HUMAN,5
1654,ANR27_HUMAN,5
1655,APT_HUMAN,5
1656,AR6P4_HUMAN,5
1657,ARH40_HUMAN,5
1658,ARHGQ_HUMAN,5
1659,ASAP1_HUMAN,5
1660,ASAP2_HUMAN,5
1661,ATAD5_HUMAN,5
1662,BET1L_HUMAN,5
1663,BICD2_HUMAN,5
1664,BIG1_HUMAN,5
1665,BRD1_HUMAN,5
1666,C170L_HUMAN,5
1667,C2C4C_HUMAN,5
1668,C43BP_HUMAN,5
1669,CA198_HUMAN,5
1670,CAPR1_HUMAN,5
1671,CBPD_HUMAN,5
1672,CBP_HUMAN,5
1673,CDC5L_HUMAN,5
1674,CE030_HUMAN,5
1675,CEBPZ_HUMAN,5
1676,CENPT_HUMAN,5
1677,CGNL1_HUMAN,5
1678,CHD7_HUMAN,5
1679,CHMP3_HUMAN,5
1680,CIP4_HUMAN,5
1681,CISY_HUMAN,5
1682,CIZ1_HUMAN,5
1683,CLK3_HUMAN,5
1684,COBL_HUMAN,5
1685,CRIP2_HUMAN,5
1686,CTF18_HUMAN,5
1687,CUL4B_HUMAN,5
1688,DAP1_HUMAN,5
1689,DDX23_HUMAN,5
1690,DDX50_HUMAN,5
1691,DDX6_HUMAN,5
1692,DEFI6_HUMAN,5
1693,DEST_HUMAN,5
1694,DMD_HUMAN,5
1695,DNJA1_HUMAN,5
1696,DNJC5_HUMAN,5
1697,DYHC1_HUMAN,5
1698,EAF1_HUMAN,5
1699,ECT2_HUMAN,5
1700,EDC3_HUMAN,5
1701,EEA1_HUMAN,5
1702,EEPD1_HUMAN,5
1703,EIF2A_HUMAN,5
1704,EIF3J_HUMAN,5
1705,EIFCL_HUMAN,5
1706,ELAV1_HUMAN,5
1707,ELL_HUMAN,5
1708,EPN4_HUMAN,5
1709,ESYT1_HUMAN,5
1710,EYA3_HUMAN,5
1711,EZRI_HUMAN,5
1712,F195A_HUMAN,5
1713,F195B_HUMAN,5
1714,F219A_HUMAN,5
1715,F263_HUMAN,5
1716,FA60A_HUMAN,5
1717,FA64A_HUMAN,5
1718,FEN1_HUMAN,5
1719,FETUA_HUMAN,5
1720,GALA_HUMAN,5
1721,GIT2_HUMAN,5
1722,GPBP1_HUMAN,5
1723,GREB1_HUMAN,5
1724,GRIP1_HUMAN,5
1725,GSK3A_HUMAN,5
1726,H1X_HUMAN,5
1727,H32_HUMAN,5
1728,H90B4_HUMAN,5
1729,HABP4_HUMAN,5
1730,HCN4_HUMAN,5
1731,HNRPR_HUMAN,5
1732,HS902_HUMAN,5
1733,HSH2D_HUMAN,5
1734,ICAL_HUMAN,5
1735,IDHP_HUMAN,5
1736,IF5A2_HUMAN,5
1737,IF5AL_HUMAN,5
1738,ITSN2_HUMAN,5
1739,JUN_HUMAN,5
1740,K1C13_HUMAN,5
1741,KAP3_HUMAN,5
1742,KBTBB_HUMAN,5
1743,KCAB2_HUMAN,5
1744,KCD15_HUMAN,5
1745,KCRB_HUMAN,5
1746,KDM1B_HUMAN,5
1747,KDM3B_HUMAN,5
1748,KDM5A_HUMAN,5
1749,KKCC1_HUMAN,5
1750,KLC4_HUMAN,5
1751,KLF16_HUMAN,5
1752,KPBB_HUMAN,5
1753,LIN54_HUMAN,5
1754,LIPB2_HUMAN,5
1755,LRCH1_HUMAN,5
1756,LS14B_HUMAN,5
1757,LTBP1_HUMAN,5
1758,LYL1_HUMAN,5
1759,M3K11_HUMAN,5
1760,M3KL4_HUMAN,5
1761,MA7D3_HUMAN,5
1762,MAN1_HUMAN,5
1763,MCMBP_HUMAN,5
1764,MED19_HUMAN,5
1765,MEF2A_HUMAN,5
1766,MEP50_HUMAN,5
1767,MEX3B_HUMAN,5
1768,MK03_HUMAN,5
1769,MKL2_HUMAN,5
1770,MMAC_HUMAN,5
