,Protein,Number_of_detected_peptides
208,BCL9_HUMAN,22
209,CLH1_HUMAN,22
210,DLG5_HUMAN,22
211,EF1A1_HUMAN,22
212,HSPB1_HUMAN,22
213,IRS1_HUMAN,22
214,LSP1_HUMAN,22
215,MAP1A_HUMAN,22
216,MBB1A_HUMAN,22
217,MEPCE_HUMAN,22
218,PGK1_HUMAN,22
219,PININ_HUMAN,22
220,PRAM_HUMAN,22
221,PUM1_HUMAN,22
222,RFIP1_HUMAN,22
223,RLA2_HUMAN,22
224,SMCA4_HUMAN,22
225,SYEP_HUMAN,22
226,WDR44_HUMAN,22
227,WIZ_HUMAN,22
228,YETS2_HUMAN,22
229,ZCH18_HUMAN,22
230,ZN318_HUMAN,22
231,1433E_HUMAN,21
232,41_HUMAN,21
233,AKAP2_HUMAN,21
234,CDK18_HUMAN,21
235,DOCK7_HUMAN,21
236,E41L2_HUMAN,21
237,ENAH_HUMAN,21
238,F122A_HUMAN,21
239,FKBP4_HUMAN,21
240,HDGF_HUMAN,21
241,K1522_HUMAN,21
242,LAP2A_HUMAN,21
243,LIMA1_HUMAN,21
244,MINT_HUMAN,21
245,MPRIP_HUMAN,21
246,MYC_HUMAN,21
247,PHLB1_HUMAN,21
248,SAFB1_HUMAN,21
249,SLTM_HUMAN,21
250,SMRCD_HUMAN,21
251,STK10_HUMAN,21
252,UBE2O_HUMAN,21
253,WNK1_HUMAN,21
254,XRCC1_HUMAN,21
255,YBOX1_HUMAN,21
256,ZC11A_HUMAN,21
257,ACTB_HUMAN,20
258,ANR17_HUMAN,20
259,C2CD5_HUMAN,20
260,CAF1A_HUMAN,20
261,DDX42_HUMAN,20
262,DTL_HUMAN,20
263,FLNB_HUMAN,20
264,GMIP_HUMAN,20
265,I2BPL_HUMAN,20
266,NU214_HUMAN,20
267,PABP2_HUMAN,20
268,PCBP2_HUMAN,20
269,PHAR4_HUMAN,20
270,PTN12_HUMAN,20
271,RBM14_HUMAN,20
272,RS3A_HUMAN,20
273,SFPQ_HUMAN,20
274,SI1L2_HUMAN,20
275,SIK3_HUMAN,20
276,TBCD4_HUMAN,20
277,TCPB_HUMAN,20
278,TRA2A_HUMAN,20
279,WAC_HUMAN,20
280,ZN106_HUMAN,20
281,ZYX_HUMAN,20
282,AKA12_HUMAN,19
283,BCR_HUMAN,19
284,C170B_HUMAN,19
285,CALR_HUMAN,19
286,CAP1_HUMAN,19
287,CENPF_HUMAN,19
288,DC1L1_HUMAN,19
289,DIDO1_HUMAN,19
290,E41L3_HUMAN,19
291,F117B_HUMAN,19
292,FUBP1_HUMAN,19
293,GAPD1_HUMAN,19
294,GLCI1_HUMAN,19
295,GRP2_HUMAN,19
296,LRWD1_HUMAN,19
297,M4K4_HUMAN,19
298,NFIC_HUMAN,19
299,PHLB2_HUMAN,19
300,RB15B_HUMAN,19
301,RBL1_HUMAN,19
302,RS3_HUMAN,19
303,SF3B2_HUMAN,19
304,SYNRG_HUMAN,19
305,TDIF2_HUMAN,19
306,ZMYM3_HUMAN,19
307,4EBP2_HUMAN,18
308,ADNP_HUMAN,18
309,APC_HUMAN,18
310,BAZ1B_HUMAN,18
311,CAMP3_HUMAN,18
312,CCDC6_HUMAN,18
313,DKC1_HUMAN,18
314,DNMT1_HUMAN,18
315,EF1A3_HUMAN,18
316,ELYS_HUMAN,18
317,FA21A_HUMAN,18
318,GPTC8_HUMAN,18
319,HMGA1_HUMAN,18
320,I2BP1_HUMAN,18
321,KDM1A_HUMAN,18
322,LIPB1_HUMAN,18
323,LMNB1_HUMAN,18
324,LRRF1_HUMAN,18
325,MAST2_HUMAN,18
326,MTSSL_HUMAN,18
327,MYO9B_HUMAN,18
328,P66A_HUMAN,18
329,PAK1_HUMAN,18
330,PERQ2_HUMAN,18
331,PLSL_HUMAN,18
332,PPHLN_HUMAN,18
333,PREX1_HUMAN,18
334,PROF1_HUMAN,18
335,PSIP1_HUMAN,18
336,PSMD2_HUMAN,18
337,RABL6_HUMAN,18
338,RANB3_HUMAN,18
339,RLA0_HUMAN,18
340,RUNX1_HUMAN,18
341,SAFB2_HUMAN,18
342,SALL2_HUMAN,18
343,SERA_HUMAN,18
344,TIF1A_HUMAN,18
345,TLE3_HUMAN,18
346,XRN2_HUMAN,18
347,3BP1_HUMAN,17
348,ACTG_HUMAN,17
349,ADDB_HUMAN,17
350,AFAD_HUMAN,17
351,AKA11_HUMAN,17
352,ATN1_HUMAN,17
353,BAZ1A_HUMAN,17
354,BAZ2A_HUMAN,17
355,CAMP1_HUMAN,17
356,CHD8_HUMAN,17
357,COF1_HUMAN,17
358,DCLK1_HUMAN,17
359,DOCK2_HUMAN,17
360,EF1G_HUMAN,17
361,EP15R_HUMAN,17
362,ESYT2_HUMAN,17
363,FIP1_HUMAN,17
364,FUBP2_HUMAN,17
365,GRDN_HUMAN,17
366,HMCS1_HUMAN,17
367,JHD2C_HUMAN,17
368,KNOP1_HUMAN,17
369,KPCD_HUMAN,17
370,MARK3_HUMAN,17
371,MDHM_HUMAN,17
372,MED1_HUMAN,17
373,MTAP2_HUMAN,17
